Citation	wID	1830	1837	1840	1841	1879	1920	1981	2013
Ether 1:5	16.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	17	from	from	from	from	from	from	from	from
Ether 1:5	17.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	18	the	the	the	the	the	the	the	the
Ether 1:5	18.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	19	tower	tower	tower	tower	tower	tower	tower	tower
Ether 1:5	19.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	20	down	down	down	down	down	down	down	down
Ether 1:5	20.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	21	until	until	until	until	until	until	until	until
Ether 1:5	21.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	22	they	they	they	they	they	they	they	they
Ether 1:5	22.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	23	were	were	were	were	were	were	were	were
Ether 1:5	23.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:5	24	destroyed	destroyed	destroyed	destroyed	destroyed	destroyed	destroyed	destroyed
Ether 1:5	24.01	.	.	.	.	.	.	.	.
Ether 1:6	1	And	And	And	And	And	And	And	And
Ether 1:6	1.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	2	on	on	on	on	on	on	on	on
Ether 1:6	2.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	3	this	this	this	this	this	this	this	this
Ether 1:6	3.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	4	wise	wise	wise	wise	wise	wise	wise	wise
Ether 1:6	4.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	5	do	do	do	do	do	do	do	do
Ether 1:6	5.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	6	I	I	I	I	I	I	I	I
Ether 1:6	6.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	7	give	give	give	give	give	give	give	give
Ether 1:6	7.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	8	the	the	the	the	the	the	the	the
Ether 1:6	8.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	9	account	account	account	account	account	account	account	account
Ether 1:6	9.01	.	.	.	.	.	.	.	.
Ether 1:6	9.02	∅	—	∅	∅	∅	∅	∅	∅
Ether 1:6	9.02	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	10	He	He	He	He	He	He	He	He
Ether 1:6	10.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	11	that	that	that	that	that	that	that	that
Ether 1:6	11.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	12	wrote	wrote	wrote	wrote	wrote	wrote	wrote	wrote
Ether 1:6	12.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	13	this	this	this	this	this	this	this	this
Ether 1:6	13.01	⌴	⌴	⌴	⌴	⌴	⌴	⌴	⌴
Ether 1:6	14	record	record	record	record	record	record	record	record
